src	dst	note
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 06 Given Up.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 06 Given Up.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 08 Upon The Hill A.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 08 Upon The Hill A.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 02 The Horizon.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 02 The Horizon.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 10 Home.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 10 Home.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 01 Sacred Ground.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 01 Sacred Ground.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 03 Waiting For More.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 03 Waiting For More.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 04 Hopes and Prayers.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 04 Hopes and Prayers.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 09 Upon The Hill B.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 09 Upon The Hill B.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 07 Light The Way.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 07 Light The Way.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Distortion/DS 05 Waiting Still.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Distortion/DS 05 Waiting Still.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 01 Sacred Ground.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 01 Sacred Ground.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 08 Upon The Hill A.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 08 Upon The Hill A.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 05 Waiting Still.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 05 Waiting Still.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 10 Home.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 10 Home.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 09 Upon The Hill B.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 09 Upon The Hill B.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 02 The Horizon.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 02 The Horizon.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 06 Given Up.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 06 Given Up.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 07 Light The Way.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 07 Light The Way.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 03 Waiting For More.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 03 Waiting For More.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments - Space/SP 04 Hopes and Prayers.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments - Space/SP 04 Hopes and Prayers.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/02 The Horizon.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/02 The Horizon.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/04 Hopes and Prayers.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/04 Hopes and Prayers.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/08 Upon The Hill A.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/08 Upon The Hill A.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/07 Light The Way.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/07 Light The Way.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/09 Upon The Hill B.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/09 Upon The Hill B.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/06 Given Up.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/06 Given Up.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/05 Waiting Still.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/05 Waiting Still.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/10 Home.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/10 Home.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/01 Sacred Ground.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/01 Sacred Ground.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/04 - Moments/Moments/03 Waiting For More.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/04 - Moments/Moments/03 Waiting For More.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 06 Outer Limits.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 06 Outer Limits.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 09 Empty Factory.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 09 Empty Factory.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 01 Bright Winds.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 01 Bright Winds.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 10 Fluorescent Room.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 10 Fluorescent Room.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 03 Irish Storm.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 03 Irish Storm.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 14 Crowd Goes Quiet.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 14 Crowd Goes Quiet.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 11 Large Applause Dry.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 11 Large Applause Dry.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 04 New Life.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 04 New Life.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 08 Empty Church.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 08 Empty Church.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 02 Summer Woods.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 02 Summer Woods.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 07 Empty Cathedral.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 07 Empty Cathedral.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 12 Large Applause.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 12 Large Applause.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 05 Night Winds.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 05 Night Winds.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Tube/TB 13 Reception.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Tube/TB 13 Reception.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 04 New Life.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 04 New Life.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 14 Crowd Goes Quiet.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 14 Crowd Goes Quiet.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 08 Empty Church.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 08 Empty Church.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 11 Large Applause Dry.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 11 Large Applause Dry.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 02 Summer Woods.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 02 Summer Woods.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 07 Empty Cathedral.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 07 Empty Cathedral.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 06 Outer Limits.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 06 Outer Limits.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 01 Bright Winds.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 01 Bright Winds.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 05 Night Winds.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 05 Night Winds.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 13 Reception.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 13 Reception.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 03 Irish Storm.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 03 Irish Storm.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 10 Fluorescent Room.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 10 Fluorescent Room.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 12 Large Applause.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 12 Large Applause.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Distortion/DS 09 Empty Factory.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Distortion/DS 09 Empty Factory.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 06 Outer Limits.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 06 Outer Limits.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 07 Empty Cathedral.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 07 Empty Cathedral.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 02 Summer Woods.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 02 Summer Woods.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 12 Large Applause.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 12 Large Applause.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 11 Large Applause Dry.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 11 Large Applause Dry.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 04 New Life.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 04 New Life.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 10 Fluorescent Room.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 10 Fluorescent Room.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 03 Irish Storm.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 03 Irish Storm.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 01 Bright Winds.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 01 Bright Winds.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 13 Reception.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 13 Reception.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 08 Empty Church.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 08 Empty Church.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 09 Empty Factory.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 09 Empty Factory.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 05 Night Winds.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 05 Night Winds.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres - Space/SP 14 Crowd Goes Quiet.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres - Space/SP 14 Crowd Goes Quiet.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres/07 Empty Cathedral.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres/07 Empty Cathedral.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres/11 Large Applause Dry.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres/11 Large Applause Dry.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres/03 Irish Storm.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres/03 Irish Storm.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres/10 Fluorescent Room.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres/10 Fluorescent Room.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres/14 Crowd Goes Quiet.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres/14 Crowd Goes Quiet.wav	
/volume1/主目录/Collection/素材&模板&音库/音效/02_中文音效合集/气氛音乐音效/Anticipation SFX/05 - Atmospheres/Atmospheres/09 Empty Factory.wav	Anticipation SFX（大气深沉1 · 大气转场撞击重低音气氛无损音效素材包）/05 - Atmospheres/Atmospheres/09 Empty Factory.wav	
